"","X","PIT","visit","species","group","season","visit.duration"
"85",532,"0110176520",1,"GRETI",302,"summer",0.1
"86",539,"0110176520",2,"GRETI",2019,"summer",10.0833333333333
"87",543,"0110176520",1,"GRETI",285,"summer",0.383333333333333
"88",553,"0110176520",1,"GRETI",2006,"summer",4.95
"89",557,"0110176520",1,"GRETI",637,"summer",0.0166666666666667
"90",559,"0110176520",1,"GRETI",2004,"summer",3.05
"91",563,"0110176520",3,"GRETI",1709,"summer",3.23333333333333
"92",568,"0110176520",1,"GRETI",1254,"summer",6.06666666666667
"93",569,"0110176520",1,"GRETI",1293,"summer",8.05
"94",570,"0110176520",1,"GRETI",646,"summer",0.233333333333333
"95",572,"0110176520",1,"GRETI",290,"summer",3.1
"96",590,"0110176520",1,"GRETI",1680,"summer",1.61666666666667
"97",605,"0110176520",1,"GRETI",2015,"summer",3.63333333333333
"98",610,"0110176520",6,"GRETI",985,"summer",4.8
"99",614,"0110176520",2,"GRETI",2008,"summer",8.06666666666667
"100",622,"0110176520",1,"GRETI",619,"summer",7.41666666666667
"101",655,"0110176520",1,"GRETI",635,"summer",0
"102",697,"0110177188",2,"GRETI",111,"summer",1.16666666666667
"103",698,"0110177188",2,"GRETI",125,"summer",8.86666666666667
"104",704,"0110177188",2,"GRETI",85,"summer",1.15
"105",720,"0110177188",1,"GRETI",133,"summer",2.98333333333333
"106",737,"01101775E5",2,"GRETI",1474,"summer",8.9
"107",738,"01101775E5",1,"GRETI",1812,"summer",9.8
"108",739,"01101775E5",1,"GRETI",1359,"summer",2.86666666666667
"109",741,"01101775E5",1,"GRETI",1356,"summer",2.1
"110",742,"01101775E5",1,"GRETI",1088,"summer",0
"111",745,"01101775E5",3,"GRETI",1374,"summer",7.56666666666667
"112",748,"01101775E5",2,"GRETI",1456,"summer",2.41666666666667
"113",753,"01101775E5",1,"GRETI",1469,"summer",9.8
"114",756,"01101775E5",1,"GRETI",1358,"summer",1.48333333333333
"115",758,"01101775E5",2,"GRETI",1490,"summer",5.71666666666667
"116",761,"01101775E5",1,"GRETI",1485,"summer",4.25
"117",764,"01101775E5",1,"GRETI",1473,"summer",7.83333333333333
"118",765,"01101775E5",2,"GRETI",1830,"summer",9.95
"119",770,"01101775E5",1,"GRETI",1491,"summer",9.76666666666667
"120",780,"01101775EE",2,"GRETI",659,"summer",0.183333333333333
"121",781,"01101775EE",2,"GRETI",342,"summer",1.75
"122",784,"01101775EE",1,"GRETI",1757,"summer",0.0166666666666667
"123",787,"01101775EE",1,"GRETI",365,"summer",1.95
"124",790,"01101775EE",2,"GRETI",344,"summer",1.71666666666667
"125",791,"01101775EE",2,"GRETI",2063,"summer",1.83333333333333
"126",792,"01101775EE",1,"GRETI",1744,"summer",0.416666666666667
"127",801,"01101775EE",1,"GRETI",330,"summer",1.71666666666667
"128",803,"01101775EE",2,"GRETI",351,"summer",0.566666666666667
"129",805,"01101775EE",5,"GRETI",1751,"summer",1.8
"130",806,"01101775EE",1,"GRETI",677,"summer",1.05
"131",812,"01101775EE",1,"GRETI",666,"summer",3.95
"132",821,"01101775EE",1,"GRETI",335,"summer",0.0166666666666667
"133",824,"01101775EE",1,"GRETI",2061,"summer",3.65
"134",827,"01101775EE",1,"GRETI",338,"summer",3.78333333333333
"135",834,"01101775EE",1,"GRETI",1733,"summer",2.6
"136",838,"01101775EE",1,"GRETI",346,"summer",2.81666666666667
"137",852,"01101775EE",2,"GRETI",2080,"summer",9.28333333333333
"138",860,"01101775EE",4,"GRETI",340,"summer",3.93333333333333
"139",866,"01101775EE",2,"GRETI",671,"summer",2.26666666666667
"140",867,"01101775EE",1,"GRETI",333,"summer",1.95
"141",869,"01101775EE",1,"GRETI",1746,"summer",6.56666666666667
"142",873,"01101778D1",5,"GRETI",65,"summer",9.41666666666667
"143",876,"01101778D1",1,"GRETI",1504,"summer",0
"144",879,"01101778D1",2,"GRETI",768,"summer",6.35
"145",884,"01101778D1",2,"GRETI",1933,"summer",4.78333333333333
"146",887,"01101778D1",1,"GRETI",72,"summer",5.15
"147",889,"01101778D1",1,"GRETI",800,"summer",3.35
"148",891,"01101778D1",2,"GRETI",496,"summer",7.81666666666667
"149",902,"01101778D1",1,"GRETI",825,"summer",2.56666666666667
"150",921,"01101778D1",2,"GRETI",1486,"summer",15.9333333333333
"151",923,"01101778D1",1,"GRETI",1884,"summer",0
"152",924,"01101778D1",1,"GRETI",498,"summer",13.9
"153",930,"01101778D1",1,"GRETI",1466,"summer",1.58333333333333
"154",931,"01101778D1",2,"GRETI",787,"summer",2.76666666666667
"155",941,"01101778D1",2,"GRETI",751,"summer",6.11666666666667
"156",947,"01101778D1",1,"GRETI",1804,"summer",8.26666666666667
"157",948,"01101778D1",1,"GRETI",814,"summer",10.3333333333333
"158",957,"01101778D1",1,"GRETI",1505,"summer",4.55
"159",961,"01101778D1",1,"GRETI",121,"summer",1.95
"160",967,"01101778D1",1,"GRETI",155,"summer",4.8
"161",973,"01101778D1",1,"GRETI",465,"summer",0
"162",983,"01101778D1",1,"GRETI",1085,"summer",2.1
"163",988,"01101778D1",3,"GRETI",1869,"summer",3.6
"164",993,"01101778D1",2,"GRETI",1825,"summer",9.46666666666667
"165",998,"01101778D1",1,"GRETI",1490,"summer",5.71666666666667
"166",1003,"01101778D1",1,"GRETI",81,"summer",5.16666666666667
"167",1007,"01101778D1",1,"GRETI",1477,"summer",4.31666666666667
"168",1010,"01101778D1",1,"GRETI",1838,"summer",5.01666666666667
"169",1013,"01101778D1",2,"GRETI",809,"summer",4.86666666666667
"170",1018,"01101778D1",4,"GRETI",1799,"summer",4.7
"171",1028,"01101778D1",1,"GRETI",1924,"summer",4.83333333333333
"172",1038,"01101778D1",1,"GRETI",779,"summer",0.0333333333333333
"173",1071,"01101778D1",1,"GRETI",119,"summer",6.6
"174",1076,"01101778D1",1,"GRETI",66,"summer",2.1
"175",1097,"01101778D1",2,"GRETI",817,"summer",2.91666666666667
"176",1103,"01101778D1",1,"GRETI",1491,"summer",9.76666666666667
"177",1104,"01101778D1",1,"GRETI",753,"summer",8.5
"178",1105,"01101778D1",2,"GRETI",1843,"summer",0.85
"179",1106,"01101778D1",6,"GRETI",2129,"summer",2.73333333333333
"180",1116,"01101778D1",1,"GRETI",1851,"summer",4.76666666666667
"181",1128,"01101778D1",1,"GRETI",1879,"summer",4.11666666666667
"182",1129,"01101778D1",1,"GRETI",176,"summer",1.5
"183",1130,"01101778D1",1,"GRETI",48,"summer",5.35
"184",1143,"01101778D1",1,"GRETI",1878,"summer",3.58333333333333
"185",1144,"01101778D1",3,"GRETI",2102,"summer",3.31666666666667
"186",1173,"01101778D1",2,"GRETI",131,"summer",3.85
"187",1192,"01101778D1",1,"GRETI",103,"summer",1.98333333333333
"188",1196,"01101778D1",1,"GRETI",1124,"summer",2.33333333333333
"189",1208,"01101778D1",1,"GRETI",763,"summer",7.75
"190",1237,"01101778D1",1,"GRETI",1479,"summer",2.53333333333333
"191",1247,"01101778D1",1,"GRETI",1865,"summer",5.05
"192",1272,"0110177961",1,"BLUTI",1886,"summer",5.03333333333333
"193",1276,"0110177961",1,"BLUTI",1473,"summer",7.83333333333333
"194",1278,"0110177961",2,"BLUTI",1486,"summer",15.9333333333333
"195",1283,"0110177961",1,"BLUTI",1805,"summer",15.8666666666667
"196",1287,"0110177961",2,"BLUTI",1920,"summer",1.7
"197",1292,"011017797C",1,"GRETI",363,"summer",6.3
"198",1294,"011017797C",2,"GRETI",343,"summer",2.21666666666667
"199",1296,"011017797C",1,"GRETI",341,"summer",0.816666666666667
"200",1302,"011017797C",1,"GRETI",324,"summer",0
"201",1309,"01101779AA",2,"GRETI",2135,"summer",5.21666666666667
"202",1310,"01101779AA",1,"GRETI",1468,"summer",3.53333333333333
"203",1312,"01101779AA",1,"GRETI",131,"summer",3.85
"204",1313,"01101779AA",1,"GRETI",65,"summer",9.41666666666667
"205",1314,"01101779AA",1,"GRETI",1854,"summer",1.26666666666667
"206",1315,"01101779AA",1,"GRETI",1863,"summer",4
"207",1318,"01101779AA",1,"GRETI",142,"summer",0.8
"208",1319,"01101779AA",1,"GRETI",755,"summer",2.78333333333333
"209",1320,"01101779AA",1,"GRETI",1368,"summer",3.03333333333333
"210",1323,"01101779AA",1,"GRETI",1848,"summer",5.28333333333333
"211",1325,"01101779AA",1,"GRETI",2127,"summer",2.63333333333333
"212",1326,"01101779AA",1,"GRETI",147,"summer",9.06666666666667
"213",1327,"01101779AA",1,"GRETI",68,"summer",1.65
"214",1329,"01101779AA",1,"GRETI",814,"summer",10.3333333333333
"215",1334,"01101779AA",1,"GRETI",100,"summer",0.833333333333333
"216",1335,"01101779AA",2,"GRETI",1337,"summer",1.63333333333333
"217",1340,"01101779AA",1,"GRETI",2098,"summer",0.85
"218",1343,"01101779AA",1,"GRETI",1494,"summer",0
"219",1353,"01101779AA",1,"GRETI",1853,"summer",5.78333333333333
"220",1356,"01101779AA",3,"GRETI",1076,"summer",5.58333333333333
"221",1359,"01101779AA",1,"GRETI",1465,"summer",0.533333333333333
"222",1362,"01101779AA",1,"GRETI",1142,"summer",0.0166666666666667
"223",1365,"01101779AA",1,"GRETI",1134,"summer",11.25
"224",1367,"01101779AA",1,"GRETI",1890,"summer",3.05
"225",1368,"01101779AA",1,"GRETI",1474,"summer",8.9
"226",1372,"01101779AA",1,"GRETI",132,"summer",3.68333333333333
"227",1394,"01101779AA",1,"GRETI",1803,"summer",8.61666666666667
"228",1406,"01101779AA",1,"GRETI",1506,"summer",3.46666666666667
"229",1407,"01101779AA",1,"GRETI",140,"summer",5.7
"230",1411,"01101779AA",1,"GRETI",759,"summer",13.1666666666667
"231",1417,"01101779AA",1,"GRETI",789,"summer",4.81666666666667
"232",1424,"01101779AA",1,"GRETI",451,"summer",7.28333333333333
"233",1437,"0110177ACE",1,"GRETI",680,"summer",4.2
"234",1442,"0110177ACE",1,"GRETI",1756,"summer",0.916666666666667
"235",1444,"0110177ACE",1,"GRETI",363,"summer",6.3
"236",1445,"0110177ACE",1,"GRETI",155,"summer",4.8
"237",1455,"0110177ACE",1,"GRETI",1744,"summer",0.416666666666667
"238",1456,"0110177ACE",2,"GRETI",344,"summer",1.71666666666667
"239",1460,"0110177ACE",2,"GRETI",653,"summer",7.28333333333333
"240",1489,"0110177ACE",2,"GRETI",2054,"summer",3.93333333333333
"241",1490,"0110177ACE",1,"GRETI",1751,"summer",1.8
"242",1514,"0110177ACE",7,"GRETI",328,"summer",2.31666666666667
"243",1537,"0110177ACE",1,"GRETI",2050,"summer",0.0166666666666667
"244",1550,"0110177ACE",1,"GRETI",2072,"summer",1.33333333333333
"245",1561,"0110177ACE",4,"GRETI",350,"summer",1.05
"246",1579,"0110177ACE",2,"GRETI",121,"summer",1.95
"247",1583,"0110177ACE",1,"GRETI",658,"summer",0
"248",1633,"0110177D25",1,"GRETI",1267,"summer",0
"249",1635,"0110177EE5",1,"GRETI",1096,"summer",5.7
"250",1636,"0110177EE5",1,"GRETI",1841,"summer",5.86666666666667
"251",1641,"0110177EE5",1,"GRETI",788,"summer",2.2
"252",1643,"0110177EE5",2,"GRETI",1087,"summer",10.5333333333333
"253",1644,"0110177EE5",1,"GRETI",1375,"summer",0.716666666666667
"254",1647,"0110177EE5",1,"GRETI",1860,"summer",3.6
"255",1659,"0110177EE5",1,"GRETI",1348,"summer",2.68333333333333
"256",1660,"0110177EE5",1,"GRETI",1912,"summer",2.33333333333333
"257",1661,"0110177EE5",1,"GRETI",1844,"summer",6.6
"258",1662,"0110177EE5",1,"GRETI",58,"summer",3.16666666666667
"259",1663,"0110177EE5",2,"GRETI",1894,"summer",2.3
"260",1670,"0110177EE5",2,"GRETI",1933,"summer",4.78333333333333
"261",1679,"0110177EE5",1,"GRETI",1834,"summer",7.01666666666667
"262",1683,"0110177EE5",1,"GRETI",44,"summer",0.0333333333333333
"263",1684,"01101780EB",2,"GRETI",1369,"summer",1.43333333333333
"264",1696,"0110178191",7,"GRETI",1134,"summer",11.25
"265",1709,"0110178191",1,"GRETI",1069,"summer",10.55
"266",1711,"0110178191",1,"GRETI",2107,"summer",3.6
"267",1715,"0110178191",2,"GRETI",1100,"summer",4.78333333333333
"268",1728,"01101783E9",1,"GRETI",1107,"summer",1.03333333333333
"269",1734,"01101783E9",2,"GRETI",1109,"summer",0.55
"270",1736,"01101783E9",3,"GRETI",1075,"summer",2.93333333333333
"271",1737,"01101783E9",3,"GRETI",1343,"summer",2.3
"272",1755,"01101785BD",4,"GRETI",2157,"summer",3.78333333333333
"273",1759,"01101785BD",1,"GRETI",213,"summer",3.16666666666667
"274",1761,"01101785BD",4,"GRETI",2151,"summer",2.63333333333333
"275",1762,"01101785BD",3,"GRETI",1190,"summer",1.9
"276",1763,"01101785BD",2,"GRETI",600,"summer",1.23333333333333
"277",1779,"01101785BD",4,"GRETI",1392,"summer",2.45
"278",1785,"01101785BD",1,"GRETI",910,"summer",8.05
"279",1797,"01101785BD",2,"GRETI",586,"summer",4.68333333333333
"280",1806,"01101785BD",2,"GRETI",921,"summer",2.8
"281",1811,"01101785BD",1,"GRETI",1177,"summer",5.4
"282",1820,"01101785BD",2,"GRETI",215,"summer",0.766666666666667
"283",1830,"01101785BD",4,"GRETI",187,"summer",1.31666666666667
"284",1842,"01101785BD",2,"GRETI",902,"summer",3.26666666666667
"285",1848,"01101785BD",2,"GRETI",2146,"summer",0.916666666666667
"286",1875,"01101785BD",2,"GRETI",1202,"summer",1.08333333333333
"287",1893,"01101785BD",1,"GRETI",252,"summer",7.55
"288",1894,"01101785BD",4,"GRETI",542,"summer",2.95
"289",1896,"01101785BD",1,"GRETI",915,"summer",3.13333333333333
"290",1909,"01101785BD",3,"GRETI",2158,"summer",1.75
"291",1912,"01101785BD",2,"GRETI",615,"summer",0.816666666666667
"292",1918,"01101785BD",3,"GRETI",1405,"summer",1.35
"293",1935,"01101785BD",1,"GRETI",569,"summer",2.46666666666667
"294",1946,"01101785BD",1,"GRETI",548,"summer",6.55
"295",1954,"01101785BD",2,"GRETI",2150,"summer",1.78333333333333
"296",1959,"01101785BD",2,"GRETI",183,"summer",6.18333333333333
"297",1992,"01101785BD",1,"GRETI",1211,"summer",3.86666666666667
"298",1994,"01101785BD",5,"GRETI",209,"summer",2.95
"299",2058,"01101785BD",1,"GRETI",859,"summer",5.98333333333333
"300",2071,"01101785BD",4,"GRETI",1213,"summer",7.46666666666667
"301",2081,"01101785BD",1,"GRETI",1407,"summer",0.0166666666666667
"302",2094,"01101785BD",5,"GRETI",1978,"summer",5.55
"303",2101,"01101785BD",1,"GRETI",889,"summer",3.78333333333333
"304",2118,"01101785BD",1,"GRETI",1953,"summer",2.08333333333333
"305",2120,"01101785BD",1,"GRETI",574,"summer",2.85
"306",2122,"01101785BD",1,"GRETI",909,"summer",4.73333333333333
"307",2142,"01101785BD",1,"GRETI",935,"summer",3.1
"308",2193,"01101785BD",1,"GRETI",616,"summer",3.98333333333333
"309",2199,"01101785BD",1,"GRETI",878,"summer",4.86666666666667
"310",2221,"01101785BD",1,"GRETI",866,"summer",1.56666666666667
"311",2248,"01101785BD",1,"GRETI",1961,"summer",8.3
"312",2263,"01101785BD",2,"GRETI",556,"summer",2.96666666666667
"313",2273,"01101785BD",1,"GRETI",857,"summer",3.23333333333333
"314",2290,"01101785BD",2,"GRETI",193,"summer",2.76666666666667
"315",2308,"01101785BD",2,"GRETI",2155,"summer",2.48333333333333
"316",2313,"01101785BD",1,"GRETI",545,"summer",6.53333333333333
"317",2345,"01101785BD",1,"GRETI",1956,"summer",0.116666666666667
"318",2361,"01101785BD",1,"GRETI",1399,"summer",0.0166666666666667
"319",2382,"01101785BD",1,"GRETI",202,"summer",4.61666666666667
"320",2392,"01101785BD",2,"GRETI",257,"summer",3.75
"321",2406,"01101785BD",1,"GRETI",204,"summer",2.46666666666667
"322",2437,"01101785BD",1,"GRETI",260,"summer",2.73333333333333
"323",2475,"01101785BD",1,"GRETI",901,"summer",4.1
"324",2488,"01101785BD",1,"GRETI",585,"summer",3.31666666666667
"325",2490,"01101785BD",1,"GRETI",1984,"summer",2.76666666666667
"326",2515,"01101785BD",1,"GRETI",1950,"summer",8.26666666666667
"327",2524,"01101785BD",1,"GRETI",246,"summer",0
"328",2526,"01101785BD",2,"GRETI",1971,"summer",7.46666666666667
"329",2629,"01101785BD",1,"GRETI",211,"summer",5.2
"330",2638,"01101785F7",1,"GRETI",2011,"summer",0.483333333333333
"331",2639,"01101785F7",1,"GRETI",1998,"summer",4.91666666666667
"332",2640,"01101785F7",1,"GRETI",2016,"summer",5.38333333333333
"333",2642,"01101786C5",2,"GRETI",43,"summer",3.51666666666667
"334",2646,"01101786C5",1,"GRETI",1079,"summer",0.7
"335",2652,"01101786C5",1,"GRETI",1132,"summer",1.91666666666667
"336",2653,"01101786C5",3,"GRETI",1878,"summer",3.58333333333333
"337",2654,"01101786C5",2,"GRETI",480,"summer",2.58333333333333
"338",2655,"01101786C5",1,"GRETI",1123,"summer",3.6
"339",2656,"01101786C5",1,"GRETI",492,"summer",8.81666666666667
"340",2657,"01101786C5",1,"GRETI",1097,"summer",4.23333333333333
"341",2662,"01101786C5",1,"GRETI",1506,"summer",3.46666666666667
"342",2669,"01101786C5",2,"GRETI",1363,"summer",2.31666666666667
"343",2670,"01101786C5",1,"GRETI",449,"summer",4.75
"344",2676,"01101786C5",2,"GRETI",1820,"summer",0.383333333333333
"345",2682,"01101786C5",1,"GRETI",765,"summer",1.5
"346",2683,"01101786C5",2,"GRETI",799,"summer",1.6
"347",2687,"01101786C5",1,"GRETI",782,"summer",0.0166666666666667
"348",2688,"01101786C5",1,"GRETI",1503,"summer",29.8333333333333
"349",2695,"01101786C5",1,"GRETI",1120,"summer",5.08333333333333
"350",2724,"01101786C5",1,"GRETI",1082,"summer",5.83333333333333
"351",2733,"01101786C5",2,"GRETI",45,"summer",4.9
"352",2737,"01101786C5",1,"GRETI",770,"summer",3.73333333333333
"353",2740,"01101786C5",1,"GRETI",2107,"summer",3.6
"354",2745,"01101786C5",5,"GRETI",1840,"summer",3.68333333333333
"355",2747,"01101786C5",2,"GRETI",1806,"summer",6.1
"356",2749,"01101786C5",1,"GRETI",1377,"summer",0.65
"357",2753,"01101786C5",1,"GRETI",778,"summer",6.51666666666667
"358",2760,"01101786C5",1,"GRETI",158,"summer",0.35
"359",2764,"01101786C5",2,"GRETI",1069,"summer",10.55
"360",2771,"01101786C5",3,"GRETI",41,"summer",7.41666666666667
"361",2775,"01101786C5",2,"GRETI",2140,"summer",2.28333333333333
"362",2785,"01101786C5",1,"GRETI",829,"summer",1.58333333333333
"363",2786,"01101786C5",1,"GRETI",1861,"summer",1.16666666666667
"364",2789,"01101786C5",1,"GRETI",1500,"summer",4.45
"365",2797,"01101786C5",1,"GRETI",165,"summer",3.3
"366",2798,"01101786C5",1,"GRETI",2136,"summer",3.1
"367",2799,"01101786C5",1,"GRETI",2110,"summer",2.38333333333333
"368",2808,"01101786C5",2,"GRETI",1821,"summer",0.883333333333333
"369",2811,"01101786C5",1,"GRETI",1801,"summer",8.48333333333333
"370",2817,"01101786C5",1,"GRETI",798,"summer",6.4
"371",2832,"01101786C5",3,"GRETI",1487,"summer",19.8333333333333
"372",2835,"01101786C5",2,"GRETI",1804,"summer",8.26666666666667
"373",2836,"01101786C5",1,"GRETI",2132,"summer",3.2
"374",2841,"01101786C5",1,"GRETI",1477,"summer",4.31666666666667
"375",2852,"01101786C5",2,"GRETI",134,"summer",3.78333333333333
"376",2857,"01101786C5",2,"GRETI",805,"summer",0.966666666666667
"377",2858,"01101786C5",1,"GRETI",1886,"summer",5.03333333333333
"378",2863,"01101786C5",1,"GRETI",1341,"summer",3.03333333333333
"379",2881,"01101786C5",1,"GRETI",806,"summer",0.733333333333333
"380",2882,"01101786C5",1,"GRETI",1891,"summer",3.96666666666667
"381",2891,"01101786C5",1,"GRETI",755,"summer",2.78333333333333
"382",2894,"01101786C5",1,"GRETI",1815,"summer",1.71666666666667
"383",2899,"01101786C5",3,"GRETI",147,"summer",9.06666666666667
"384",2909,"01101786C5",1,"GRETI",1104,"summer",8.81666666666667
"385",2921,"01101786C5",2,"GRETI",1480,"summer",1.55
"386",2929,"01101786C5",1,"GRETI",1470,"summer",4.71666666666667
"387",2939,"01101786C5",1,"GRETI",1371,"summer",2.65
"388",2941,"01101786C5",1,"GRETI",822,"summer",3.43333333333333
"389",2963,"01101786C5",1,"GRETI",1458,"summer",18.7333333333333
"390",2964,"01101786C5",1,"GRETI",1137,"summer",2.25
"391",2981,"01101786C5",1,"GRETI",64,"summer",3.96666666666667
"392",2983,"01101786C5",2,"GRETI",1499,"summer",4.33333333333333
"393",3014,"01101786C5",1,"GRETI",1373,"summer",2.28333333333333
"394",3025,"01101786C5",1,"GRETI",1092,"summer",9.5
"395",3026,"01101786C5",5,"GRETI",1100,"summer",4.78333333333333
"396",3035,"01101786C5",2,"GRETI",159,"summer",0.683333333333333
"397",3049,"01101786C5",1,"GRETI",1898,"summer",8.5
"398",3057,"01101786C5",3,"GRETI",1879,"summer",4.11666666666667
"399",3077,"01101786C5",5,"GRETI",1074,"summer",6.53333333333333
"400",3105,"0110178704",1,"GRETI",129,"summer",2.25
"401",3108,"0110178704",4,"GRETI",147,"summer",9.06666666666667
"402",3110,"0110178704",1,"GRETI",132,"summer",3.68333333333333
"403",3111,"0110178704",1,"GRETI",48,"summer",5.35
"404",3112,"0110178704",2,"GRETI",71,"summer",7.18333333333333
"405",3125,"0110178704",1,"GRETI",65,"summer",9.41666666666667
"406",3127,"0110178704",1,"GRETI",155,"summer",4.8
"407",3136,"011017889D",1,"BLUTI",67,"summer",6.8
"408",3139,"011017889D",1,"BLUTI",1486,"summer",15.9333333333333
"409",3140,"011017889D",1,"BLUTI",1477,"summer",4.31666666666667
"410",3141,"011017889D",1,"BLUTI",1838,"summer",5.01666666666667
"411",3142,"011017889D",2,"BLUTI",72,"summer",5.15
"412",3144,"011017889D",1,"BLUTI",167,"summer",1.3
"413",3149,"011017889D",1,"BLUTI",1910,"summer",1.81666666666667
"414",3150,"011017889D",2,"BLUTI",59,"summer",3.38333333333333
